# energy, Re[S], Im[S], Im[G], Re[Smpa], Im[Smpa], Im[Gmpa]
-1.000000019999999950e+02 2.706641999999999992e+00 1.612354000000000065e+00 1.528119999999999999e-04 2.089596024511247485e+00 1.330307674031775633e+00 1.276190099889912819e-04
-9.990000200000000063e+01 2.705391999999999797e+00 1.613161999999999985e+00 1.531899999999999885e-04 2.090469608926217582e+00 1.331350167536834661e+00 1.279673276173835426e-04
-9.980000200000000632e+01 2.704661999999999900e+00 1.615258000000000083e+00 1.536900000000000007e-04 2.091343521279494411e+00 1.332389185104704055e+00 1.283164239272404619e-04
-9.970000199999999779e+01 2.705052999999999930e+00 1.617844999999999978e+00 1.542360000000000053e-04 2.092217729573741636e+00 1.333424694823871270e+00 1.286662984869001180e-04
-9.960000200000000348e+01 2.706812000000000218e+00 1.620433000000000012e+00 1.547789999999999897e-04 2.093092201307586997e+00 1.334456664732256215e+00 1.290169508494313632e-04
-9.950000199999999495e+01 2.709547999999999845e+00 1.621833999999999998e+00 1.552079999999999953e-04 2.093966903470380281e+00 1.335485062820571223e+00 1.293683805528441592e-04
-9.940000200000000063e+01 2.711898000000000142e+00 1.622770000000000046e+00 1.555949999999999900e-04 2.094841802536898001e+00 1.336509857035757420e+00 1.297205871203099684e-04
-9.930000200000000632e+01 2.714630999999999794e+00 1.623680000000000012e+00 1.559789999999999918e-04 2.095716864462014328e+00 1.337531015284516123e+00 1.300735700603948845e-04
-9.920000199999999779e+01 2.717605999999999966e+00 1.624414000000000025e+00 1.563459999999999969e-04 2.096592054675388006e+00 1.338548505436909508e+00 1.304273288673025750e-04
-9.910000200000000348e+01 2.721394000000000091e+00 1.624848999999999988e+00 1.566840000000000062e-04 2.097467338076048016e+00 1.339562295330066100e+00 1.307818630211311014e-04
-9.900000199999999495e+01 2.725210999999999828e+00 1.624060000000000059e+00 1.569040000000000007e-04 2.098342679027033419e+00 1.340572352771949305e+00 1.311371719881394978e-04
-9.890000200000000063e+01 2.728544999999999998e+00 1.623046999999999906e+00 1.571049999999999942e-04 2.099218041349955044e+00 1.341578645545235204e+00 1.314932552210286876e-04
-9.880000200000000632e+01 2.731904000000000110e+00 1.621634999999999938e+00 1.572669999999999971e-04 2.100093388319543841e+00 1.342581141411271162e+00 1.318501121592345160e-04
-9.870000199999999779e+01 2.734534000000000020e+00 1.620198000000000027e+00 1.574289999999999999e-04 2.100968682658194808e+00 1.343579808114126806e+00 1.322077422292334680e-04
-9.860000200000000348e+01 2.737115000000000187e+00 1.619191999999999965e+00 1.576340000000000022e-04 2.101843886530458505e+00 1.344574613384738271e+00 1.325661448448619661e-04
-9.850000199999999495e+01 2.740372999999999948e+00 1.618592000000000031e+00 1.578770000000000065e-04 2.102718961537522802e+00 1.345565524945144809e+00 1.329253194076494100e-04
-9.840000200000000063e+01 2.744546000000000152e+00 1.617372000000000032e+00 1.580569999999999946e-04 2.103593868711685744e+00 1.346552510512815992e+00 1.332852653071639015e-04
-9.830000200000000632e+01 2.748216000000000214e+00 1.614795999999999898e+00 1.581060000000000072e-04 2.104468568510760917e+00 1.347535537805104155e+00 1.336459819213760758e-04
-9.820000199999999779e+01 2.751469999999999860e+00 1.612975000000000048e+00 1.582309999999999967e-04 2.105343020812548538e+00 1.348514574543735023e+00 1.340074686170304133e-04
-9.810000200000000348e+01 2.756024000000000029e+00 1.610365999999999964e+00 1.582739999999999961e-04 2.106217184909165319e+00 1.349489588459464429e+00 1.343697247500391038e-04
-9.800000199999999495e+01 2.759066999999999936e+00 1.605995000000000061e+00 1.581490000000000066e-04 2.107091019501482698e+00 1.350460547296792768e+00 1.347327496658858026e-04
-9.790000200000000063e+01 2.760898000000000074e+00 1.602641999999999900e+00 1.581270000000000126e-04 2.107964482693447827e+00 1.351427418818802906e+00 1.350965427000477381e-04
-9.780000200000000632e+01 2.762935999999999837e+00 1.599930999999999992e+00 1.581669999999999918e-04 2.108837531986421432e+00 1.352390170812085124e+00 1.354611031784318860e-04
-9.770000199999999779e+01 2.765134999999999899e+00 1.597331999999999974e+00 1.582180000000000088e-04 2.109710124273536103e+00 1.353348771091781977e+00 1.358264304178286540e-04
-9.760000200000000348e+01 2.767612000000000183e+00 1.594918999999999976e+00 1.582859999999999953e-04 2.110582215833967545e+00 1.354303187506728179e+00 1.361925237263808530e-04
-9.750000199999999495e+01 2.770461000000000062e+00 1.592403000000000013e+00 1.583420000000000097e-04 2.111453762327249351e+00 1.355253387944711285e+00 1.365593824040714532e-04
-9.740000200000000063e+01 2.773858999999999853e+00 1.589561999999999919e+00 1.583649999999999923e-04 2.112324718787537137e+00 1.356199340337838954e+00 1.369270057432274391e-04
-9.730000200000000632e+01 2.777414999999999967e+00 1.585685999999999929e+00 1.582839999999999909e-04 2.113195039617882465e+00 1.357141012667988811e+00 1.372953930290395227e-04
-9.720000199999999779e+01 2.780310000000000059e+00 1.580829000000000040e+00 1.581060000000000072e-04 2.114064678584486323e+00 1.358078372972418180e+00 1.376645435401035122e-04
-9.710000200000000348e+01 2.780962000000000156e+00 1.576292000000000026e+00 1.579659999999999983e-04 2.114933588810935738e+00 1.359011389349467969e+00 1.380344565489787846e-04
-9.700000199999999495e+01 2.782919000000000143e+00 1.574060999999999932e+00 1.580519999999999972e-04 2.115801722772443050e+00 1.359940029964355368e+00 1.384051313227629672e-04
-9.690000200000000063e+01 2.786051000000000055e+00 1.570624000000000020e+00 1.580139999999999952e-04 2.116669032290052321e+00 1.360864263055129975e+00 1.387765671236897125e-04
-9.680000200000000632e+01 2.789125999999999994e+00 1.566870999999999903e+00 1.579440000000000043e-04 2.117535468524881281e+00 1.361784056938713405e+00 1.391487632097432780e-04
-9.670000199999999779e+01 2.793124000000000162e+00 1.562168000000000001e+00 1.577740000000000110e-04 2.118400981972305530e+00 1.362699380017065032e+00 1.395217188352932997e-04
-9.660000200000000348e+01 2.795542999999999889e+00 1.555789000000000089e+00 1.574380000000000061e-04 2.119265522456174722e+00 1.363610200783494264e+00 1.398954332517524145e-04
-9.650000199999999495e+01 2.797527999999999793e+00 1.550281000000000020e+00 1.571909999999999931e-04 2.120129039123010983e+00 1.364516487829060765e+00 1.402699057082514478e-04
-9.640000200000000063e+01 2.799380000000000202e+00 1.543898999999999910e+00 1.568539999999999995e-04 2.120991480436194010e+00 1.365418209849119435e+00 1.406451354523373951e-04
-9.630000200000000632e+01 2.799514999999999976e+00 1.537468999999999975e+00 1.565159999999999902e-04 2.121852794170160372e+00 1.366315335649993301e+00 1.410211217306935494e-04
-9.620000199999999779e+01 2.799319999999999808e+00 1.532820999999999989e+00 1.563590000000000119e-04 2.122712927404618810e+00 1.367207834155757418e+00 1.413978637898799030e-04
-9.610000200000000348e+01 2.800311000000000217e+00 1.528729999999999922e+00 1.562540000000000120e-04 2.123571826518714012e+00 1.368095674415171104e+00 1.417753608770976179e-04
-9.600000199999999495e+01 2.802289000000000030e+00 1.524531000000000081e+00 1.561350000000000086e-04 2.124429437185237468e+00 1.368978825608732741e+00 1.421536122409764282e-04
-9.590000200000000063e+01 2.805447000000000024e+00 1.518404000000000087e+00 1.558119999999999915e-04 2.125285704364847206e+00 1.369857257055852706e+00 1.425326171323828856e-04
-9.580000200000000632e+01 2.806611000000000189e+00 1.511311999999999989e+00 1.553960000000000009e-04 2.126140572300227127e+00 1.370730938222208373e+00 1.429123748052583390e-04
-9.570000199999999779e+01 2.807577000000000211e+00 1.504726000000000008e+00 1.550300000000000115e-04 2.126993984510368918e+00 1.371599838727158627e+00 1.432928845174729065e-04
-9.560000200000000348e+01 2.808756999999999948e+00 1.498577999999999966e+00 1.547069999999999945e-04 2.127845883784734937e+00 1.372463928351367102e+00 1.436741455317114312e-04
-9.550000199999999495e+01 2.811351999999999851e+00 1.491368999999999945e+00 1.542690000000000099e-04 2.128696212177531244e+00 1.373323177044521337e+00 1.440561571163808774e-04
-9.540000200000000063e+01 2.813296999999999937e+00 1.481235000000000079e+00 1.535270000000000092e-04 2.129544911001937990e+00 1.374177554933212697e+00 1.444389185465448037e-04
-9.530000200000000632e+01 2.813181000000000154e+00 1.470197999999999894e+00 1.526950000000000009e-04 2.130391920824357577e+00 1.375027032328939747e+00 1.448224291048830724e-04
-9.520000199999999779e+01 2.809477999999999920e+00 1.458776000000000073e+00 1.518299999999999880e-04 2.131237181458716989e+00 1.375871579736279493e+00 1.452066880826796116e-04
-9.510000200000000348e+01 2.805114000000000107e+00 1.450932000000000111e+00 1.513350000000000003e-04 2.132080631960736383e+00 1.376711167861178531e+00 1.455916947808358732e-04
-9.500000199999999495e+01 2.802306999999999881e+00 1.442698999999999954e+00 1.507939999999999931e-04 2.132922210622263393e+00 1.377545767619405837e+00 1.459774485109130221e-04
-9.490000200000000063e+01 2.798963999999999785e+00 1.433211999999999930e+00 1.501189999999999903e-04 2.133761854965570137e+00 1.378375350145153888e+00 1.463639485962023421e-04
