# energy, Re[S], Im[S], Im[G], Re[Smpa], Im[Smpa], Im[Gmpa]
-9.999999700000000757e+01 5.080867999999999718e+00 1.800758000000000081e+00 1.630349999999999866e-04 4.676183877990212956e+00 2.090156832287838995e+00 1.906821372888895005e-04
-9.989999699999999905e+01 5.080459000000000280e+00 1.805407999999999902e+00 1.637680000000000082e-04 4.679765465152254222e+00 2.092324724088037158e+00 1.912317417393137814e-04
-9.979998700000000156e+01 5.080185000000000173e+00 1.810208000000000039e+00 1.645179999999999993e-04 4.683352313571504055e+00 2.094483005613345217e+00 1.917821874531758805e-04
-9.969999699999999621e+01 5.080289999999999750e+00 1.815250000000000030e+00 1.652900000000000116e-04 4.686943282018892987e+00 2.096630970190026311e+00 1.923333053113875980e-04
-9.959999700000000189e+01 5.081631999999999927e+00 1.820041999999999938e+00 1.660389999999999869e-04 4.690539381980412870e+00 2.098769203053990839e+00 1.928852566347640928e-04
-9.949999700000000757e+01 5.082620000000000360e+00 1.822319999999999940e+00 1.665609999999999931e-04 4.694140188735923758e+00 2.100897428216321305e+00 1.934379824012089370e-04
-9.939999699999999905e+01 5.081579999999999764e+00 1.825333000000000094e+00 1.671590000000000033e-04 4.697745635817073939e+00 2.103015585027646406e+00 1.939914786365928639e-04
-9.929999700000000473e+01 5.080156999999999812e+00 1.828899000000000052e+00 1.678109999999999964e-04 4.701355656113475057e+00 2.105123612862671578e+00 1.945457413361219540e-04
-9.919999699999999621e+01 5.078871000000000357e+00 1.833776000000000073e+00 1.685850000000000131e-04 4.704970181870735679e+00 2.107221451117791133e+00 1.951007664639345287e-04
-9.909999700000000189e+01 5.078623000000000332e+00 1.838899999999999979e+00 1.693809999999999966e-04 4.708589144688378525e+00 2.109309039208467240e+00 1.956565499526712374e-04
-9.899999700000000757e+01 5.078941999999999624e+00 1.843210999999999933e+00 1.701030000000000077e-04 4.712212475517688404e+00 2.111386316566398413e+00 1.962130877030230530e-04
-9.889999699999999905e+01 5.078721999999999959e+00 1.847244000000000108e+00 1.708040000000000133e-04 4.715840104659413612e+00 2.113453222636448636e+00 1.967703755832525157e-04
-9.879999700000000473e+01 5.078414000000000428e+00 1.851463000000000081e+00 1.715250000000000086e-04 4.719471961761381174e+00 2.115509696873349110e+00 1.973284094286898772e-04
-9.869999699999999621e+01 5.078179999999999694e+00 1.855760999999999994e+00 1.722550000000000101e-04 4.723107975815964643e+00 2.117555678738160196e+00 1.978871850412022208e-04
-9.859999700000000189e+01 5.078103999999999729e+00 1.860023999999999900e+00 1.729839999999999958e-04 4.726748075157434670e+00 2.119591107694481558e+00 1.984466981886346098e-04
-9.849999700000000757e+01 5.078168999999999933e+00 1.863872999999999891e+00 1.736759999999999953e-04 4.730392187459151465e+00 2.121615923204420273e+00 1.990069446042235066e-04
-9.839999699999999905e+01 5.077145999999999937e+00 1.867328000000000099e+00 1.743369999999999946e-04 4.734040239730619604e+00 2.123630064724287614e+00 1.995679199859795366e-04
-9.829999700000000473e+01 5.075962999999999781e+00 1.872241999999999962e+00 1.751380000000000027e-04 4.737692158314367852e+00 2.125633471700039578e+00 2.001296199960405449e-04
-9.819999699999999621e+01 5.075643999999999600e+00 1.877307000000000059e+00 1.759529999999999872e-04 4.741347868882666461e+00 2.127626083562452308e+00 2.006920402599943491e-04
-9.809999700000000189e+01 5.075599999999999667e+00 1.882066000000000017e+00 1.767410000000000075e-04 4.745007296434064159e+00 2.129607839722005735e+00 2.012551763661671236e-04
-9.799999700000000757e+01 5.075518999999999892e+00 1.886673000000000044e+00 1.775170000000000014e-04 4.748670365289732409e+00 2.131578679563495449e+00 2.018190238648804766e-04
-9.789999699999999905e+01 5.075355000000000061e+00 1.891253999999999991e+00 1.782940000000000111e-04 4.752336999089591174e+00 2.133538542440357233e+00 2.023835782676744303e-04
-9.779999700000000473e+01 5.075032000000000210e+00 1.895977000000000023e+00 1.790879999999999903e-04 4.756007120788247278e+00 2.135487367668683412e+00 2.029488350464936993e-04
-9.769999699999999621e+01 5.074742999999999782e+00 1.901219999999999910e+00 1.799330000000000135e-04 4.759680652650681409e+00 2.137425094520946089e+00 2.035147896328396550e-04
-9.759999700000000189e+01 5.075281999999999627e+00 1.906848000000000098e+00 1.808149999999999959e-04 4.763357516247704204e+00 2.139351662219417083e+00 2.040814374168847768e-04
-9.749999700000000757e+01 5.076582000000000150e+00 1.911945999999999923e+00 1.816470000000000042e-04 4.767037632451174289e+00 2.141267009929258780e+00 2.046487737465485588e-04
-9.739999699999999905e+01 5.078247000000000178e+00 1.916098000000000079e+00 1.823910000000000093e-04 4.770720921428918793e+00 2.143171076751304582e+00 2.052167939265348202e-04
-9.729999700000000473e+01 5.079133999999999816e+00 1.919373999999999914e+00 1.830559999999999902e-04 4.774407302639406048e+00 2.145063801714504947e+00 2.057854932173286552e-04
-9.719999699999999621e+01 5.079384000000000121e+00 1.922927000000000053e+00 1.837519999999999985e-04 4.778096694826102109e+00 2.146945123768049690e+00 2.063548668341528885e-04
-9.709999700000000189e+01 5.079410000000000203e+00 1.926487000000000060e+00 1.844530000000000041e-04 4.781789016011526172e+00 2.148814981773134569e+00 2.069249099458813528e-04
-9.699999700000000757e+01 5.079183999999999699e+00 1.930320000000000036e+00 1.851819999999999898e-04 4.785484183490985366e+00 2.150673314494394361e+00 2.074956176739098271e-04
-9.689999699999999905e+01 5.078897000000000439e+00 1.934304000000000023e+00 1.859289999999999879e-04 4.789182113825948939e+00 2.152520060590970452e+00 2.080669850909818190e-04
-9.679999700000000473e+01 5.078411000000000008e+00 1.938512999999999931e+00 1.867010000000000002e-04 4.792882722837092047e+00 2.154355158607232923e+00 2.086390072199695691e-04
-9.669999699999999621e+01 5.078031000000000184e+00 1.943217999999999890e+00 1.875229999999999866e-04 4.796585925596931865e+00 2.156178546963126053e+00 2.092116790326091122e-04
-9.659999700000000189e+01 5.078170000000000073e+00 1.948063000000000100e+00 1.883599999999999923e-04 4.800291636422094221e+00 2.157990163944137230e+00 2.097849954481854657e-04
-9.650000699999999654e+01 5.078615000000000101e+00 1.952547000000000033e+00 1.891630000000000048e-04 4.803999397933742976e+00 2.159789768306204394e+00 2.103588939047868693e-04
-9.639999699999999905e+01 5.078867999999999938e+00 1.956674999999999942e+00 1.899349999999999899e-04 4.807710235706041502e+00 2.161577836188444124e+00 2.109335414948217277e-04
-9.629999700000000473e+01 5.078769000000000311e+00 1.960846000000000089e+00 1.907160000000000083e-04 4.811422948942994715e+00 2.163353767254923010e+00 2.115087606896965170e-04
-9.619999699999999621e+01 5.078554999999999708e+00 1.965243000000000073e+00 1.915219999999999867e-04 4.815137819783046780e+00 2.165117678530144918e+00 2.120846036121622582e-04
-9.609999700000000189e+01 5.078248999999999569e+00 1.969821000000000044e+00 1.923480000000000090e-04 4.818854758632002522e+00 2.166869507463540234e+00 2.126610648978161816e-04
-9.600000699999999654e+01 5.077918999999999627e+00 1.974766000000000021e+00 1.932129999999999948e-04 4.822573303096421071e+00 2.168609017942704220e+00 2.132380813829836113e-04
-9.589999699999999905e+01 5.077878000000000114e+00 1.980128000000000110e+00 1.941219999999999957e-04 4.826294477909936376e+00 2.170336667076060877e+00 2.138158207924593208e-04
-9.579999700000000473e+01 5.078438000000000230e+00 1.985618000000000105e+00 1.950429999999999959e-04 4.830017075046792563e+00 2.172051871588725369e+00 2.143941043589383958e-04
