# energy, Re[S], Im[S], Im[G], Re[Smpa], Im[Smpa], Im[Gmpa]
-5.000000400000000411e+01 2.092137000000000135e+00 1.514502000000000015e+00 5.576459999999999664e-04 1.737865287616236820e+00 1.150247525733345100e+00 4.294964938509126065e-04
-4.989999399999999952e+01 2.089020000000000099e+00 1.518078999999999956e+00 5.611779999999999590e-04 1.733522156282854887e+00 1.156488232894088641e+00 4.335707726106827718e-04
-4.980000400000000127e+01 2.085456000000000198e+00 1.521279999999999966e+00 5.646050000000000331e-04 1.729165692985305647e+00 1.162769911039605475e+00 4.376897870509637392e-04
-4.969999400000000378e+01 2.081458000000000030e+00 1.524847000000000063e+00 5.682000000000000418e-04 1.724794198962688263e+00 1.169095533734002990e+00 4.418558160441404684e-04
-4.959999400000000236e+01 2.077589999999999826e+00 1.528437000000000046e+00 5.718249999999999809e-04 1.720409030550738461e+00 1.175463676703757621e+00 4.460682582176488001e-04
-4.950000400000000411e+01 2.073615999999999904e+00 1.531940999999999997e+00 5.754449999999999496e-04 1.716010242358525506e+00 1.181874800038835049e+00 4.503277512986956057e-04
-4.940000400000000269e+01 2.069135000000000169e+00 1.535023999999999944e+00 5.789420000000000417e-04 1.711597008261991348e+00 1.188330665559517829e+00 4.546358098040109577e-04
-4.930000400000000127e+01 2.063785999999999898e+00 1.538761999999999963e+00 5.827309999999999608e-04 1.707169824652335244e+00 1.194831120280542613e+00 4.589926836254344450e-04
-4.919999400000000378e+01 2.058689999999999909e+00 1.543252000000000068e+00 5.868250000000000202e-04 1.702728307450082967e+00 1.201377313618661624e+00 4.633995005088229445e-04
-4.909999400000000236e+01 2.053643999999999803e+00 1.547428999999999943e+00 5.908270000000000405e-04 1.698273409253166832e+00 1.207968435786747508e+00 4.678560751627935249e-04
-4.900000400000000411e+01 2.047611999999999988e+00 1.551698000000000022e+00 5.949150000000000054e-04 1.693805202345330940e+00 1.214604979097691828e+00 4.723630998712369895e-04
-4.890000400000000269e+01 2.040693000000000090e+00 1.557075999999999905e+00 5.994799999999999999e-04 1.689322865019438513e+00 1.221288783896290697e+00 4.769221952526549852e-04
-4.880000400000000127e+01 2.033396999999999899e+00 1.563674999999999926e+00 6.045570000000000327e-04 1.684826919484207597e+00 1.228019708703653734e+00 4.815336442495280465e-04
-4.870000399999999985e+01 2.025386999999999826e+00 1.572637000000000063e+00 6.106049999999999586e-04 1.680317445891153394e+00 1.234798280533369486e+00 4.861981901647756052e-04
-4.859999400000000236e+01 2.019524000000000097e+00 1.584829000000000043e+00 6.179039999999999576e-04 1.675794075676735773e+00 1.241625718688983415e+00 4.909170632533839786e-04
-4.849999400000000094e+01 2.016614999999999824e+00 1.597453000000000012e+00 6.253530000000000416e-04 1.671257802203729881e+00 1.248501199357216151e+00 4.956900882183596117e-04
-4.839999399999999952e+01 2.016042999999999807e+00 1.609931000000000001e+00 6.327420000000000483e-04 1.666708267128915288e+00 1.255425951685332109e+00 5.005185153685677351e-04
-4.830000400000000127e+01 2.016853999999999925e+00 1.621005000000000029e+00 6.395980000000000111e-04 1.662146025296121987e+00 1.262399832098409336e+00 5.054026476702429141e-04
-4.820000399999999985e+01 2.017190999999999956e+00 1.632738999999999940e+00 6.467750000000000409e-04 1.657570266857010921e+00 1.269424799468761522e+00 5.103442695764282694e-04
-4.809999400000000236e+01 2.020846999999999838e+00 1.646220000000000017e+00 6.546100000000000226e-04 1.652981095533645028e+00 1.276501440723738279e+00 5.153442194851295521e-04
-4.800000400000000411e+01 2.028246000000000215e+00 1.657731999999999983e+00 6.616179999999999934e-04 1.648380002567614966e+00 1.283628204935143735e+00 5.204018238048558004e-04
-4.789999399999999952e+01 2.036560000000000148e+00 1.666509999999999936e+00 6.675550000000000147e-04 1.643765265273633425e+00 1.290808530669010246e+00 5.255199549761522008e-04
-4.780000400000000127e+01 2.046084000000000014e+00 1.673883000000000010e+00 6.729359999999999552e-04 1.639138852646156330e+00 1.298040141554938076e+00 5.306974292608950634e-04
-4.770000399999999985e+01 2.056649000000000171e+00 1.678925999999999918e+00 6.773839999999999506e-04 1.634499507347670466e+00 1.305325803075284785e+00 5.359366689868455070e-04
-4.759999400000000236e+01 2.067469000000000001e+00 1.681321999999999983e+00 6.807840000000000332e-04 1.629847360205640472e+00 1.312666143327074764e+00 5.412385855678745550e-04
-4.750000400000000411e+01 2.077522999999999787e+00 1.681594999999999951e+00 6.833650000000000141e-04 1.625183948986396398e+00 1.320059572682381610e+00 5.466024872281774905e-04
-4.739999399999999952e+01 2.086876999999999871e+00 1.680276000000000103e+00 6.853309999999999610e-04 1.620507554636273939e+00 1.327509677819219247e+00 5.520314433457826396e-04
-4.730000400000000127e+01 2.095022000000000162e+00 1.677762999999999893e+00 6.868519999999999487e-04 1.615820200216145919e+00 1.335014116473237644e+00 5.575242216202497096e-04
-4.720000399999999985e+01 2.102447999999999873e+00 1.675022000000000011e+00 6.883069999999999813e-04 1.611120640284206429e+00 1.342575778117276464e+00 5.630834154537897812e-04
-4.709999400000000236e+01 2.110107999999999873e+00 1.671435000000000004e+00 6.894139999999999557e-04 1.606409037082193514e+00 1.350195334994679586e+00 5.687100162351928180e-04
-4.700000400000000411e+01 2.116614000000000217e+00 1.666951999999999989e+00 6.901859999999999679e-04 1.601686978211906753e+00 1.357871157035088538e+00 5.744033141017959197e-04
-4.689999399999999952e+01 2.123460999999999821e+00 1.663567000000000018e+00 6.914049999999999710e-04 1.596952754236737881e+00 1.365606988293881274e+00 5.801665917048495205e-04
-4.680000400000000127e+01 2.132528000000000201e+00 1.659143999999999952e+00 6.921330000000000494e-04 1.592208445400082661e+00 1.373400417236547710e+00 5.859985660035762654e-04
-4.669999400000000378e+01 2.143599000000000032e+00 1.651693000000000078e+00 6.915410000000000524e-04 1.587452348012893921e+00 1.381255253593721477e+00 5.919026098562256855e-04
-4.659999400000000236e+01 2.153779999999999806e+00 1.639574000000000087e+00 6.890070000000000526e-04 1.582686088995346241e+00 1.389169851618788476e+00 5.978780204518611627e-04
-4.650000400000000411e+01 2.161287999999999876e+00 1.625046999999999908e+00 6.855109999999999763e-04 1.577909881233654277e+00 1.397144904128256870e+00 6.039258517469683679e-04
-4.640000400000000269e+01 2.167657000000000167e+00 1.608897000000000022e+00 6.813299999999999565e-04 1.573122987210206603e+00 1.405182727076232707e+00 6.100484075391427027e-04
-4.630000400000000127e+01 2.172304000000000013e+00 1.589819000000000093e+00 6.759169999999999458e-04 1.568326110264152362e+00 1.413283256683040889e+00 6.162461996892899330e-04
-4.619999400000000378e+01 2.173820000000000086e+00 1.567466000000000026e+00 6.691470000000000360e-04 1.563519004040326621e+00 1.421448053291653801e+00 6.225209916821483960e-04
-4.609999400000000236e+01 2.169100999999999946e+00 1.544108000000000036e+00 6.620559999999999510e-04 1.558702873524129284e+00 1.429676235064489376e+00 6.288726805179251523e-04
-4.600000400000000411e+01 2.161461000000000077e+00 1.524051000000000045e+00 6.563959999999999543e-04 1.553877974283565333e+00 1.437968543802929933e+00 6.353024143799844512e-04
-4.590000400000000269e+01 2.154576000000000047e+00 1.503279999999999950e+00 6.503480000000000285e-04 1.549043603359048671e+00 1.446327409656567919e+00 6.418126710968710680e-04
-4.580000400000000127e+01 2.143352999999999842e+00 1.479298000000000002e+00 6.429629999999999764e-04 1.544200514629909371e+00 1.454752788701906052e+00 6.484040240387892911e-04
-4.569999400000000378e+01 2.126578999999999997e+00 1.457430000000000003e+00 6.365700000000000395e-04 1.539348504277608276e+00 1.463246326406211217e+00 6.550783781588753263e-04
-4.559999400000000236e+01 2.107194999999999929e+00 1.438434999999999908e+00 6.314340000000000534e-04 1.534488834618535691e+00 1.471807127916047175e+00 6.618356536007941960e-04
-4.549999400000000094e+01 2.086914999999999853e+00 1.420624000000000109e+00 6.267830000000000059e-04 1.529621323447361902e+00 1.480436853683549270e+00 6.686777901046334202e-04
-4.540000400000000269e+01 2.062634000000000079e+00 1.403243000000000018e+00 6.223720000000000510e-04 1.524746772017516294e+00 1.489135455886136494e+00 6.756053891168809899e-04
-4.530000400000000127e+01 2.034539000000000097e+00 1.389551999999999898e+00 6.196469999999999713e-04 1.519864529851235879e+00 1.497905511199959960e+00 6.826211573245228844e-04
-4.520000399999999985e+01 2.005139999999999922e+00 1.381115000000000093e+00 6.192699999999999984e-04 1.514975420141015938e+00 1.506747001376197659e+00 6.897257502772493731e-04
