# energy, Re[S], Im[S], Im[G], Re[Smpa], Im[Smpa], Im[Gmpa]
-5.000000200000000206e+01 1.780413999999999941e+00 2.473440000000000083e-01 9.224889999999999696e-05 1.780987493150103962e+00 2.461587399908348184e-01 9.180466608437341173e-05
-4.990000200000000063e+01 1.779740000000000100e+00 2.469399999999999928e-01 9.245710000000000625e-05 1.779808596673901677e+00 2.455932735825315238e-01 9.195277360449201972e-05
-4.980000199999999921e+01 1.779096000000000011e+00 2.464010000000000089e-01 9.261590000000000209e-05 1.778625978488321380e+00 2.450289029095980009e-01 9.210176300134917285e-05
-4.970000199999999779e+01 1.778359000000000023e+00 2.457529999999999992e-01 9.273390000000000333e-05 1.777439613801049756e+00 2.444656257756366857e-01 9.225164049872862078e-05
-4.960000200000000348e+01 1.777530000000000054e+00 2.450990000000000113e-01 9.285079999999999538e-05 1.776249477573538682e+00 2.439034398818711313e-01 9.240241233976552275e-05
-4.950000200000000206e+01 1.776718999999999937e+00 2.444189999999999974e-01 9.295750000000000573e-05 1.775055544517711192e+00 2.433423428248084330e-01 9.255408478596962208e-05
-4.940000200000000063e+01 1.775792000000000037e+00 2.436439999999999995e-01 9.302849999999999878e-05 1.773857789092607939e+00 2.427823320938635732e-01 9.270666411620864399e-05
-4.930000199999999921e+01 1.774737000000000009e+00 2.429010000000000058e-01 9.311239999999999979e-05 1.772656185500959269e+00 2.422234050689207607e-01 9.286015662564123740e-05
-4.920000199999999779e+01 1.773632000000000097e+00 2.422880000000000034e-01 9.324619999999999502e-05 1.771450707685718662e+00 2.416655590178539703e-01 9.301456862460714492e-05
-4.910000200000000348e+01 1.772621999999999920e+00 2.416800000000000059e-01 9.338199999999999463e-05 1.770241329326510016e+00 2.411087910939875290e-01 9.316990643746565640e-05
-4.900000200000000206e+01 1.771616999999999997e+00 2.410700000000000065e-01 9.351720000000000648e-05 1.769028023836020314e+00 2.405530983335055772e-01 9.332617640138524628e-05
-4.890000200000000063e+01 1.770656999999999925e+00 2.403599999999999903e-01 9.361360000000000102e-05 1.767810764356330999e+00 2.399984776528080732e-01 9.348338486508114213e-05
-4.880000199999999921e+01 1.769609999999999905e+00 2.395690000000000042e-01 9.367879999999999491e-05 1.766589523755168312e+00 2.394449258458078988e-01 9.364153818749900837e-05
-4.870000199999999779e+01 1.768480000000000052e+00 2.387749999999999873e-01 9.374290000000000671e-05 1.765364274622093665e+00 2.388924395811712897e-01 9.380064273644268509e-05
-4.860000200000000348e+01 1.767293999999999921e+00 2.379709999999999881e-01 9.380299999999999619e-05 1.764134989264621645e+00 2.383410153995016989e-01 9.396070488714619898e-05
-4.850000200000000206e+01 1.766135000000000010e+00 2.371860000000000079e-01 9.387050000000000190e-05 1.762901639704259837e+00 2.377906497104601558e-01 9.412173102078462514e-05
-4.840000200000000063e+01 1.764855000000000063e+00 2.362209999999999865e-01 9.386630000000000624e-05 1.761664197672478060e+00 2.372413387898307802e-01 9.428372752292674087e-05
-4.830000199999999921e+01 1.763325999999999949e+00 2.353470000000000006e-01 9.389869999999999597e-05 1.760422634606605197e+00 2.366930787765136879e-01 9.444670078192029627e-05
-4.820000199999999779e+01 1.761759999999999993e+00 2.345980000000000010e-01 9.398080000000000659e-05 1.759176921645636105e+00 2.361458656694655489e-01 9.461065718721703031e-05
-4.810000200000000348e+01 1.760135000000000005e+00 2.339960000000000095e-01 9.412220000000000493e-05 1.757927029625970361e+00 2.355996953245682035e-01 9.477560312762734927e-05
-4.800000200000000206e+01 1.758585999999999983e+00 2.334710000000000119e-01 9.429460000000000348e-05 1.756672929077062406e+00 2.350545634514295545e-01 9.494154498950561623e-05
-4.790000200000000063e+01 1.757022000000000084e+00 2.329630000000000034e-01 9.447469999999999859e-05 1.755414590216989090e+00 2.345104656101232310e-01 9.510848915486595681e-05
