# energy, Re[S], Im[S], Im[G], Re[Smpa], Im[Smpa], Im[Gmpa]
-9.999999600000001010e+01 1.082915999999999990e+00 2.544960000000000000e-01 2.490710000000000078e-05 6.039209401294686197e-01 1.868478104659340389e+00 1.845476215683830199e-04
-9.989999600000000157e+01 1.085928000000000004e+00 2.547229999999999772e-01 2.497719999999999864e-05 6.116819457441646790e-01 1.867113539112574827e+00 1.847514456095507307e-04
-9.979999600000000726e+01 1.087985999999999898e+00 2.528540000000000232e-01 2.484210000000000056e-05 6.194535079834331270e-01 1.865679774125991841e+00 1.849488134243072051e-04
-9.970000600000000190e+01 1.088406999999999902e+00 2.505249999999999977e-01 2.466199999999999867e-05 6.272340502498623405e-01 1.864176518716587072e+00 1.851396283848468600e-04
-9.959999600000000441e+01 1.088033000000000028e+00 2.487129999999999896e-01 2.453239999999999910e-05 6.350250983278544759e-01 1.862602876773205018e+00 1.853238694406254123e-04
-9.949999600000001010e+01 1.087423000000000028e+00 2.472040000000000071e-01 2.443240000000000006e-05 6.428234945707468340e-01 1.860958885747891145e+00 1.855014036138602409e-04
-9.939999600000000157e+01 1.086659999999999959e+00 2.460340000000000027e-01 2.436549999999999906e-05 6.506291839581154202e-01 1.859243978599964153e+00 1.856721735776892571e-04
-9.930000600000001043e+01 1.086141999999999941e+00 2.450110000000000066e-01 2.431279999999999870e-05 6.584405397581999386e-01 1.857457935501336976e+00 1.858360878742542743e-04
-9.919999599999999873e+01 1.085618999999999890e+00 2.438160000000000049e-01 2.424280000000000106e-05 6.662590498035170228e-01 1.855599819309923904e+00 1.859931199493023823e-04
-9.909999600000000441e+01 1.085039000000000087e+00 2.426319999999999866e-01 2.417350000000000157e-05 6.740815015678107702e-01 1.853669797897474769e+00 1.861431477040242737e-04
-9.899999600000001010e+01 1.084486000000000061e+00 2.413730000000000042e-01 2.409639999999999853e-05 6.819077974048235458e-01 1.851667322452390740e+00 1.862861140189437802e-04
-9.889999600000000157e+01 1.083890000000000020e+00 2.399199999999999944e-01 2.399959999999999973e-05 6.897370471816027804e-01 1.849592038799075855e+00 1.864219465491119955e-04
-9.880000600000001043e+01 1.083107000000000042e+00 2.383800000000000086e-01 2.389370000000000130e-05 6.975675667641566546e-01 1.847443824019945113e+00 1.865505613108739554e-04
-9.869999599999999873e+01 1.082173000000000052e+00 2.367150000000000087e-01 2.377489999999999831e-05 7.054007942204434389e-01 1.845221694207691776e+00 1.866719252210074088e-04
-9.859999600000000441e+01 1.080899000000000054e+00 2.350009999999999877e-01 2.365060000000000019e-05 7.132334579931651763e-01 1.842925989887805649e+00 1.867859311338857290e-04
-9.849999600000001010e+01 1.079347999999999974e+00 2.334660000000000069e-01 2.354410000000000045e-05 7.210654091343497996e-01 1.840556191208582160e+00 1.868925228814906001e-04
-9.839999600000000157e+01 1.077625999999999973e+00 2.321539999999999992e-01 2.345969999999999834e-05 7.288957055097842197e-01 1.838112010800812213e+00 1.869916328113915979e-04
-9.830000600000001043e+01 1.075868999999999964e+00 2.311110000000000109e-01 2.340220000000000101e-05 7.367226126217680804e-01 1.835593431189991298e+00 1.870831855489991772e-04
-9.819999599999999873e+01 1.074149000000000020e+00 2.302240000000000120e-01 2.336010000000000018e-05 7.445475168786320763e-01 1.832999426968835222e+00 1.871671419191226588e-04
-9.809999600000000441e+01 1.072456999999999994e+00 2.295260000000000078e-01 2.333710000000000057e-05 7.523670997731418675e-01 1.830330521335549188e+00 1.872434112188448333e-04
-9.799999600000001010e+01 1.070888000000000062e+00 2.289839999999999931e-01 2.332980000000000150e-05 7.601811642038813766e-01 1.827586230135454848e+00 1.873119390218408713e-04
-9.789999600000000157e+01 1.069495000000000084e+00 2.285369999999999902e-01 2.333199999999999955e-05 7.679887217054622850e-01 1.824766340267776066e+00 1.873726633339521327e-04
-9.780000600000001043e+01 1.068281000000000036e+00 2.280860000000000110e-01 2.333369999999999989e-05 7.757879957311955010e-01 1.821870947704184118e+00 1.874255185172319337e-04
-9.769999599999999873e+01 1.067190000000000083e+00 2.276519999999999933e-01 2.333690000000000013e-05 7.835803199187699741e-01 1.818898990941871796e+00 1.874704597822998990e-04
-9.759999600000000441e+01 1.066580000000000084e+00 2.271380000000000066e-01 2.333169999999999889e-05 7.913623424132988360e-01 1.815851184914325289e+00 1.875074143178553931e-04
-9.749999600000001010e+01 1.065992999999999968e+00 2.259120000000000017e-01 2.325319999999999956e-05 7.991338221347232817e-01 1.812727087612599597e+00 1.875363302367978428e-04
-9.739999600000000157e+01 1.065010999999999930e+00 2.244009999999999894e-01 2.314509999999999970e-05 8.068937311024163561e-01 1.809526567163677102e+00 1.875571521594397858e-04
-9.730000600000001043e+01 1.063655000000000017e+00 2.227770000000000028e-01 2.302500000000000063e-05 8.146402602836627649e-01 1.806249840253232319e+00 1.875698252831868205e-04
-9.719999599999999873e+01 1.061871000000000009e+00 2.212109999999999910e-01 2.291050000000000028e-05 8.223746902465943753e-01 1.802895814691537701e+00 1.875742997107158572e-04
-9.709999600000000441e+01 1.059731999999999896e+00 2.199309999999999876e-01 2.282540000000000003e-05 8.300936508399435754e-01 1.799465405008979557e+00 1.875705219035683985e-04
-9.699999600000001010e+01 1.057487000000000066e+00 2.191279999999999895e-01 2.278939999999999902e-05 8.377968621899192225e-01 1.795958217329274964e+00 1.875584433009449658e-04
-9.689999600000000157e+01 1.055446000000000106e+00 2.185130000000000128e-01 2.277290000000000011e-05 8.454832647236057985e-01 1.792374207271680397e+00 1.875380160638426719e-04
-9.680000600000001043e+01 1.053366000000000025e+00 2.181019999999999903e-01 2.277739999999999981e-05 8.531510276693160533e-01 1.788713718559264754e+00 1.875091972718057260e-04
-9.669999599999999873e+01 1.051436000000000037e+00 2.179250000000000076e-01 2.280649999999999924e-05 8.608013790413827637e-01 1.784975633584993782e+00 1.874719324404170416e-04
-9.659999600000000441e+01 1.049762000000000084e+00 2.179349999999999898e-01 2.285510000000000078e-05 8.684309467773649871e-01 1.781161072894381636e+00 1.874261885893888742e-04
-9.649999600000001010e+01 1.048429000000000055e+00 2.179449999999999998e-01 2.290359999999999870e-05 8.760394183562704162e-01 1.777269696093077833e+00 1.873719212418653503e-04
-9.639999600000000157e+01 1.047344000000000053e+00 2.177379999999999871e-01 2.292930000000000085e-05 8.836257115687751185e-01 1.773301551670445564e+00 1.873090909742524421e-04
-9.629999600000000726e+01 1.046291000000000082e+00 2.173209999999999864e-01 2.293299999999999880e-05 8.911887408365047891e-01 1.769256707244050597e+00 1.872376601449303479e-04
-9.619999599999999873e+01 1.045228999999999964e+00 2.167530000000000012e-01 2.292059999999999871e-05 8.987274176143836835e-01 1.765135249723050137e+00 1.871575929256850013e-04
-9.609999600000000441e+01 1.044133999999999896e+00 2.160920000000000063e-01 2.289830000000000064e-05 9.062406507994675842e-01 1.760937285461896762e+00 1.870688553324109150e-04
-9.599999600000001010e+01 1.043053000000000008e+00 2.152989999999999904e-01 2.286179999999999853e-05 9.137273471460352070e-01 1.756662940404093431e+00 1.869714152550558416e-04
-9.589999600000000157e+01 1.041787999999999936e+00 2.143720000000000070e-01 2.281099999999999895e-05 9.211864116866337326e-01 1.752312360215743103e+00 1.868652424867693325e-04
-9.579999600000000726e+01 1.040548000000000028e+00 2.135380000000000056e-01 2.276969999999999987e-05 9.286167481588254446e-01 1.747885710408661586e+00 1.867503087522244564e-04
-9.569999599999999873e+01 1.039395000000000069e+00 2.125400000000000067e-01 2.271079999999999947e-05 9.360172594373339372e-01 1.743383176452792283e+00 1.866265877350788518e-04
-9.559999600000000441e+01 1.038264000000000076e+00 2.111490000000000034e-01 2.260940000000000074e-05 9.433868479712910204e-01 1.738804963877722320e+00 1.864940551045428298e-04
-9.549999600000001010e+01 1.036440000000000028e+00 2.092019999999999991e-01 2.244809999999999942e-05 9.507244162262811216e-01 1.734151298363058258e+00 1.863526885410241442e-04
-9.539999600000000157e+01 1.034326000000000079e+00 2.082400000000000084e-01 2.239229999999999904e-05 9.580288671308512249e-01 1.729422425817461750e+00 1.862024677608149759e-04
-9.529999600000000726e+01 1.032400999999999902e+00 2.056989999999999930e-01 2.216590000000000067e-05 9.652991045271628323e-01 1.724618612446152888e+00 1.860433745397960898e-04
-9.519999599999999873e+01 1.027716999999999992e+00 2.040230000000000099e-01 2.203320000000000108e-05 9.725340336254607587e-01 1.719740144806668036e+00 1.858753927361226808e-04
-9.509999600000000441e+01 1.023527999999999993e+00 2.047960000000000058e-01 2.216470000000000143e-05 9.797325614619799561e-01 1.714787329852726305e+00 1.856985083118677050e-04
-9.499999600000001010e+01 1.020585000000000075e+00 2.059920000000000084e-01 2.234190000000000034e-05 9.868935973599767264e-01 1.709760494966011235e+00 1.855127093535923941e-04
-9.489999600000000157e+01 1.018143999999999938e+00 2.070929999999999993e-01 2.250920000000000126e-05 9.940160533934794262e-01 1.704659987975726043e+00 1.853179860918171705e-04
-9.479999600000000726e+01 1.015835999999999961e+00 2.082150000000000112e-01 2.267959999999999882e-05 1.001098844853417713e+00 1.699486177165785650e+00 1.851143309193680831e-04
-9.469999599999999873e+01 1.013568000000000024e+00 2.097189999999999888e-01 2.289230000000000103e-05 1.008140890715742755e+00 1.694239451269488050e+00 1.849017384085710610e-04
-9.459999600000000441e+01 1.011608000000000063e+00 2.119739999999999958e-01 2.318779999999999846e-05 1.015141114111150600e+00 1.688920219451592653e+00 1.846802053272737386e-04
-9.449999600000001010e+01 1.010796000000000028e+00 2.153339999999999976e-01 2.360509999999999868e-05 1.022098442796022244e+00 1.683528911277649476e+00 1.844497306536672845e-04
-9.439999600000000157e+01 1.012451999999999908e+00 2.190259999999999985e-01 2.405929999999999850e-05 1.029011809624188256e+00 1.678065976670536585e+00 1.842103155898912423e-04
-9.429999600000000726e+01 1.017748000000000097e+00 2.221589999999999954e-01 2.445199999999999899e-05 1.035880153019097971e+00 1.672531885854102507e+00 1.839619635743967960e-04
-9.420000600000000190e+01 1.031017999999999990e+00 2.167449999999999932e-01 2.389960000000000069e-05 1.042701737558324293e+00 1.666927693275588318e+00 1.837047064676513349e-04
-9.409999600000000441e+01 1.024977000000000027e+00 1.958419999999999883e-01 2.164279999999999885e-05 1.049477553883874537e+00 1.661252217564621825e+00 1.834384736889616864e-04
-9.399999600000001010e+01 1.010820999999999970e+00 1.950840000000000074e-01 2.161100000000000027e-05 1.056204520296132321e+00 1.655507681355279370e+00 1.831633539710144677e-04
-9.389999600000000157e+01 1.004301000000000110e+00 1.983449999999999935e-01 2.202159999999999936e-05 1.062882282100679365e+00 1.649694071260285666e+00 1.828793336210896524e-04
-9.379999600000000726e+01 1.000429999999999930e+00 2.010520000000000085e-01 2.237099999999999977e-05 1.069509812637885027e+00 1.643811957708272153e+00 1.825864273999631482e-04
