# energy, Re[S], Im[S], Im[G], Re[Smpa], Im[Smpa], Im[Gmpa]
-5.000000199999999495e+01 -7.192859999999998699e-01 2.063500000000000056e-02 8.496701846816688444e-06 -7.267039140495646921e-01 -9.256421366946543383e-03 -3.812587641151035809e-06
-4.990000200000000063e+01 -7.196609999999994400e-01 2.079900000000000151e-02 8.599224869995456073e-06 -7.270340763369191883e-01 -9.084975180818889717e-03 -3.757256867718574822e-06
-4.980000199999999921e+01 -7.200589999999995605e-01 2.099399999999999877e-02 8.715393776188060687e-06 -7.273676734083913686e-01 -8.912168353655665343e-03 -3.700876754319203269e-06
-4.970000199999999779e+01 -7.204519999999998703e-01 2.120599999999999916e-02 8.839528374433825328e-06 -7.277047814609044485e-01 -8.737949829898429555e-03 -3.643414477999079199e-06
-4.960000199999999637e+01 -7.208379999999996457e-01 2.142499999999999960e-02 8.967537642929724616e-06 -7.280454791204192810e-01 -8.562265647747778485e-03 -3.584835511267550318e-06
-4.950000199999999495e+01 -7.212209999999994459e-01 2.164400000000000004e-02 9.096525763793517012e-06 -7.283898475195339506e-01 -8.385058745966900151e-03 -3.525103508461956046e-06
-4.940000200000000063e+01 -7.216069999999996654e-01 2.186899999999999955e-02 9.229035914369195095e-06 -7.287379703758622984e-01 -8.206268756632856265e-03 -3.464180183575845625e-06
-4.930000199999999921e+01 -7.219909999999996053e-01 2.209799999999999959e-02 9.364259097888552415e-06 -7.290899340708858478e-01 -8.025831782752262944e-03 -3.402025178863912470e-06
-4.920000199999999779e+01 -7.223739999999998496e-01 2.232800000000000062e-02 9.500949459675630651e-06 -7.294458277289062043e-01 -7.843680159573068744e-03 -3.338595923479920217e-06
-4.910000199999999637e+01 -7.227639999999997400e-01 2.255800000000000166e-02 9.638697680174593594e-06 -7.298057432956635004e-01 -7.659742198331341567e-03 -3.273847481341737214e-06
-4.900000199999999495e+01 -7.231609999999997207e-01 2.280300000000000035e-02 9.783949487383271487e-06 -7.301697756161029673e-01 -7.473941911074998001e-03 -3.207732387351416256e-06
-4.890000200000000063e+01 -7.235479999999996359e-01 2.306100000000000164e-02 9.935926600503342508e-06 -7.305380225106798964e-01 -7.286198715099348466e-03 -3.140200471025554702e-06
-4.880000199999999921e+01 -7.239279999999994608e-01 2.331700000000000092e-02 1.008822083601540924e-05 -7.309105848494915625e-01 -7.096427115419176590e-03 -3.071198666514659287e-06
-4.870000199999999779e+01 -7.243079999999997298e-01 2.357499999999999873e-02 1.024257292973303538e-05 -7.312875666234044392e-01 -6.904536363579509561e-03 -3.000670807905690407e-06
-4.860000199999999637e+01 -7.246869999999998591e-01 2.383599999999999955e-02 1.039944063659954467e-05 -7.316690750112058161e-01 -6.710430090979983830e-03 -2.928557408612561397e-06
-4.850000199999999495e+01 -7.250649999999998485e-01 2.409899999999999889e-02 1.055841347104212956e-05 -7.320552204416573838e-01 -6.514005914752651893e-03 -2.854795423563428728e-06
-4.840000200000000063e+01 -7.254429999999998380e-01 2.436200000000000171e-02 1.071863436826088986e-05 -7.324461166491459396e-01 -6.315155014087157903e-03 -2.779317992789651392e-06
-4.830000199999999921e+01 -7.258249999999994984e-01 2.462699999999999959e-02 1.088100039192333190e-05 -7.328418807214214237e-01 -6.113761674746982788e-03 -2.702054164911923820e-06
-4.820000199999999779e+01 -7.262109999999997179e-01 2.489999999999999852e-02 1.104819677289665732e-05 -7.332426331376877826e-01 -5.909702799360254388e-03 -2.622928598901438395e-06
-4.810000199999999637e+01 -7.265979999999996330e-01 2.518300000000000052e-02 1.122117043763315167e-05 -7.336484977950347153e-01 -5.702847380900509522e-03 -2.541861242368926448e-06
-4.800000199999999495e+01 -7.269789999999995977e-01 2.547299999999999912e-02 1.139864475571862979e-05 -7.340596020209091410e-01 -5.493055936603263856e-03 -2.458766984504287158e-06
-4.790000200000000063e+01 -7.273569999999995872e-01 2.576700000000000171e-02 1.157932575010559606e-05 -7.344760765689704041e-01 -5.280179899381218234e-03 -2.373555281649106667e-06
-4.780000199999999921e+01 -7.277309999999994616e-01 2.606599999999999889e-02 1.176370039456160833e-05 -7.348980555952886462e-01 -5.064060963622642186e-03 -2.286129753341092387e-06
