# energy, Re[S], Im[S], Im[G], Re[Smpa], Im[Smpa], Im[Gmpa]
-9.999996899999999300e+01 -8.106173999999999324e+00 2.025069999999999926e+00 2.396940000000000127e-04 -8.254673018023746423e+00 2.444642549670927867e+00 2.902281351208588515e-04
-9.989996899999999869e+01 -8.108299000000000589e+00 2.025074000000000041e+00 2.402279999999999910e-04 -8.251882653050531147e+00 2.441138384992155963e+00 2.904273987086426019e-04
-9.979996900000000437e+01 -8.110464000000000340e+00 2.025094999999999867e+00 2.407649999999999894e-04 -8.249137399489743672e+00 2.437590411337259511e+00 2.906219249422715045e-04
-9.969996899999999584e+01 -8.112667000000000073e+00 2.025122000000000089e+00 2.413059999999999966e-04 -8.246438208194636132e+00 2.433998558306371240e+00 2.908116795062075724e-04
-9.959996900000000153e+01 -8.114903999999999229e+00 2.025185000000000013e+00 2.418529999999999899e-04 -8.243786046657064048e+00 2.430362765738129482e+00 2.909966291441246728e-04
-9.949996899999999300e+01 -8.117145000000000721e+00 2.025250999999999912e+00 2.424019999999999875e-04 -8.241181899208095629e+00 2.426682984155537959e+00 2.911767417241560314e-04
-9.939996899999999869e+01 -8.119429000000000229e+00 2.025297999999999821e+00 2.429510000000000122e-04 -8.238626767216461033e+00 2.422959175226058193e+00 2.913519863066158302e-04
-9.929996900000000437e+01 -8.121776999999999802e+00 2.025374999999999925e+00 2.435059999999999959e-04 -8.236121669284500513e+00 2.419191312236304015e+00 2.915223332142771392e-04
-9.919996899999999584e+01 -8.124133000000000493e+00 2.025471000000000021e+00 2.440639999999999997e-04 -8.233667641441209994e+00 2.415379380581692104e+00 2.916877541052792532e-04
-9.909996900000000153e+01 -8.126533999999999480e+00 2.025567000000000117e+00 2.446260000000000123e-04 -8.231265737332122967e+00 2.411523378271450024e+00 2.918482220487513901e-04
-9.899996899999999300e+01 -8.128973000000000226e+00 2.025678000000000090e+00 2.451910000000000179e-04 -8.228917028405597023e+00 2.407623316449342354e+00 2.920037116032347686e-04
-9.889996899999999869e+01 -8.131448000000000675e+00 2.025808000000000053e+00 2.457599999999999780e-04 -8.226622604095098268e+00 2.403679219930510591e+00 2.921541988979854112e-04
-9.879996900000000437e+01 -8.133969999999999700e+00 2.025927999999999951e+00 2.463300000000000082e-04 -8.224383571997098130e+00 2.399691127754815412e+00 2.922996617172489084e-04
-9.869996899999999584e+01 -8.136566999999999439e+00 2.026094000000000062e+00 2.469090000000000173e-04 -8.222201058044127819e+00 2.395659093757090297e+00 2.924400795875965894e-04
-9.859996900000000153e+01 -8.139184000000000196e+00 2.026321999999999957e+00 2.474970000000000056e-04 -8.220076206672533914e+00 2.391583187154677326e+00 2.925754338684091868e-04
-9.849996899999999300e+01 -8.141802999999999457e+00 2.026565999999999867e+00 2.480890000000000027e-04 -8.218010180984435920e+00 2.387463493152671923e+00 2.927057078456076866e-04
-9.839996899999999869e+01 -8.144427999999999557e+00 2.026838000000000140e+00 2.486860000000000242e-04 -8.216004162903379537e+00 2.383300113567262013e+00 2.928308868287194549e-04
-9.829996900000000437e+01 -8.147066999999999837e+00 2.027064000000000199e+00 2.492799999999999985e-04 -8.214059353323177604e+00 2.379093167467586589e+00 2.929509582513839419e-04
-9.819996899999999584e+01 -8.149784999999999613e+00 2.027292999999999790e+00 2.498770000000000201e-04 -8.212176972249304541e+00 2.374842791836507594e+00 2.930659117753890361e-04
-9.809996900000000153e+01 -8.152559000000000111e+00 2.027537999999999840e+00 2.504790000000000120e-04 -8.210358258932354047e+00 2.370549142250712116e+00 2.931757393983445373e-04
-9.799996899999999300e+01 -8.155398999999999177e+00 2.027810000000000112e+00 2.510859999999999741e-04 -8.208604471992842377e+00 2.366212393580542361e+00 2.932804355650903811e-04
-9.789996899999999869e+01 -8.158296999999999244e+00 2.028121000000000063e+00 2.516999999999999923e-04 -8.206916889536776338e+00 2.361832740709993494e+00 2.933799972829478713e-04
-9.779996900000000437e+01 -8.161258000000000123e+00 2.028483000000000036e+00 2.523229999999999896e-04 -8.205296809261259483e+00 2.357410399277242163e+00 2.934744242409145364e-04
-9.769996899999999584e+01 -8.164246000000000336e+00 2.028941000000000106e+00 2.529610000000000062e-04 -8.203745548549470357e+00 2.352945606436156911e+00 2.935637189329144432e-04
