# energy, Re[S], Im[S], Im[G], Re[Smpa], Im[Smpa], Im[Gmpa]
-1.000000000000000000e+02 -1.176299000000000028e+01 2.043350000000000222e+00 2.623060000000000192e-04 -1.196126208276522007e+01 2.150555572624866407e+00 2.772962450124463762e-04
-9.989999000000000251e+01 -1.176557000000000031e+01 2.049711999999999978e+00 2.637340000000000062e-04 -1.195827356800239016e+01 2.154312291465522389e+00 2.783929540633820355e-04
-9.979999999999999716e+01 -1.176728999999999914e+01 2.056668999999999858e+00 2.652399999999999745e-04 -1.195531563756760640e+01 2.157942947446191528e+00 2.794775867179826638e-04
-9.970000000000000284e+01 -1.176715000000000089e+01 2.063954999999999984e+00 2.667829999999999833e-04 -1.195239320211111789e+01 2.161447571048930705e+00 2.805502828199014659e-04
-9.959999999999999432e+01 -1.176374999999999993e+01 2.071117999999999792e+00 2.682970000000000233e-04 -1.194951254870089485e+01 2.164824959491657985e+00 2.816107777201583024e-04
-9.950000000000000000e+01 -1.175441000000000003e+01 2.072315000000000129e+00 2.690069999999999809e-04 -1.194667984515872483e+01 2.168074541050142301e+00 2.826589501877574450e-04
-9.939999000000000251e+01 -1.175418999999999947e+01 2.061611000000000082e+00 2.682280000000000211e-04 -1.194390115252901197e+01 2.171196328771317852e+00 2.836948188713760057e-04
-9.929999999999999716e+01 -1.176312000000000069e+01 2.058689999999999909e+00 2.685149999999999863e-04 -1.194118378809189096e+01 2.174189408995545136e+00 2.847180301091369113e-04
-9.920000000000000284e+01 -1.177059000000000033e+01 2.060114000000000001e+00 2.693610000000000253e-04 -1.193853356314262371e+01 2.177055015715663178e+00 2.857288900403100206e-04
-9.909999999999999432e+01 -1.177712000000000003e+01 2.062653000000000070e+00 2.703510000000000006e-04 -1.193595751742435240e+01 2.179793489731511436e+00 2.867273375988381749e-04
-9.900000000000000000e+01 -1.178332999999999942e+01 2.065904999999999880e+00 2.714360000000000080e-04 -1.193346252827275755e+01 2.182405823360187291e+00 2.877134617709440614e-04
-9.889999000000000251e+01 -1.178926000000000052e+01 2.069878999999999802e+00 2.726189999999999863e-04 -1.193105533155638653e+01 2.184893612575863120e+00 2.886874978454366785e-04
-9.879999999999999716e+01 -1.179475000000000051e+01 2.074574000000000140e+00 2.738989999999999741e-04 -1.192874368245302641e+01 2.187257858617361439e+00 2.896493457814924193e-04
-9.870000000000000284e+01 -1.179940999999999995e+01 2.079928000000000221e+00 2.752669999999999922e-04 -1.192653397374013835e+01 2.189501407111165143e+00 2.905995403177649228e-04
-9.859999999999999432e+01 -1.180240000000000045e+01 2.085382000000000069e+00 2.766429999999999736e-04 -1.192443357373021762e+01 2.191626534622486133e+00 2.915382851308398232e-04
-9.849998999999999683e+01 -1.180402999999999913e+01 2.088804000000000105e+00 2.777459999999999933e-04 -1.192244942948027742e+01 2.193636367681350841e+00 2.924660309114593339e-04
-9.839999000000000251e+01 -1.180715000000000003e+01 2.089786000000000143e+00 2.785379999999999952e-04 -1.192058905932475099e+01 2.195533857348866302e+00 2.933830103436683924e-04
-9.829999999999999716e+01 -1.181293999999999933e+01 2.090596000000000121e+00 2.793280000000000199e-04 -1.191885950074255973e+01 2.197322818519722887e+00 2.942897059451361026e-04
