# energy, Re[S], Im[S], Im[G], Re[Smpa], Im[Smpa], Im[Gmpa]
-5.000000000000000000e+01 -3.204854999999999787e+00 1.995365000000000055e+00 9.095610000000000283e-04 -3.225858481191590243e+00 2.010513099177941854e+00 9.172624284566249569e-04
-4.989999999999999858e+01 -3.205295000000000005e+00 2.001888999999999807e+00 9.164470000000000298e-04 -3.227317669577331571e+00 2.014981502795464507e+00 9.232872215990649018e-04
-4.979999999999999716e+01 -3.206078000000000205e+00 2.008424000000000209e+00 9.234020000000000335e-04 -3.228780415853692798e+00 2.019439613204409234e+00 9.293510903122016460e-04
-4.970000000000000284e+01 -3.207050000000000178e+00 2.015258000000000216e+00 9.305529999999999791e-04 -3.230247266705320808e+00 2.023887071672825666e+00 9.354542318962181082e-04
-4.960000000000000142e+01 -3.207726000000000077e+00 2.022375999999999951e+00 9.378770000000000466e-04 -3.231718786848047031e+00 2.028323520298264349e+00 9.415968463917794191e-04
-4.950000000000000000e+01 -3.208076000000000150e+00 2.029386999999999830e+00 9.451929999999999880e-04 -3.233195559411648379e+00 2.032748602312391739e+00 9.477791367974586082e-04
-4.939999999999999858e+01 -3.208295999999999815e+00 2.036223999999999812e+00 9.524769999999999678e-04 -3.234678186326322979e+00 2.037161962399163695e+00 9.540013092994743815e-04
-4.929999999999999716e+01 -3.208273000000000152e+00 2.042838999999999849e+00 9.597009999999999786e-04 -3.236167288712719969e+00 2.041563247026974448e+00 9.602635735142592407e-04
-4.920000000000000284e+01 -3.208248000000000211e+00 2.049173999999999829e+00 9.668469999999999539e-04 -3.237663507275348351e+00 2.045952104795175419e+00 9.665661427443975485e-04
-4.910000000000000142e+01 -3.208091000000000026e+00 2.055368000000000084e+00 9.739739999999999552e-04 -3.239167502699193513e+00 2.050328186795397301e+00 9.729092342485043746e-04
-4.900000000000000000e+01 -3.207975999999999939e+00 2.061138999999999832e+00 9.809540000000000273e-04 -3.240679956049324684e+00 2.054691146988083084e+00 9.792930695256048951e-04
-4.889999999999999858e+01 -3.207971000000000128e+00 2.066721999999999948e+00 9.879010000000000135e-04 -3.242201569173306819e+00 2.059040642594693882e+00 9.857178746146399301e-04
-4.879999999999999716e+01 -3.208220999999999989e+00 2.072236999999999885e+00 9.948780000000000383e-04 -3.243733065106181979e+00 2.063376334505980569e+00 9.921838804096895937e-04
-4.870000000000000284e+01 -3.208162999999999876e+00 2.077993000000000201e+00 1.002000000000000069e-03 -3.245275188477775075e+00 2.067697887706827942e+00 9.986913229915776128e-04
-4.860000000000000142e+01 -3.207584999999999908e+00 2.083098999999999812e+00 1.008999999999999914e-03 -3.246828705922089942e+00 2.072004971718066191e+00 1.005240443976503691e-03
-4.850000000000000000e+01 -3.207519000000000009e+00 2.087448999999999888e+00 1.015000000000000060e-03 -3.248394406488502195e+00 2.076297261055743082e+00 1.011831490882388485e-03
