# energy, Re[S], Im[S], Im[G], Re[Smpa], Im[Smpa], Im[Gmpa]
-4.999999599999999589e+01 -3.898595999999999950e+00 5.377800000000000358e-01 2.529979999999999924e-04 -3.897603726494995424e+00 5.369949236410681559e-01 2.526180269284224091e-04
-4.989999600000000157e+01 -3.899672999999999945e+00 5.392890000000000184e-01 2.548240000000000119e-04 -3.898341768654878248e+00 5.360148848611435701e-01 2.532625590544458865e-04
-4.979999600000000015e+01 -3.900704999999999867e+00 5.408049999999999802e-01 2.566660000000000122e-04 -3.899072597188087741e+00 5.350375094808343945e-01 2.539115058244008675e-04
-4.969999599999999873e+01 -3.901661999999999964e+00 5.423599999999999532e-01 2.585399999999999743e-04 -3.899796057122329795e+00 5.340629249850510352e-01 2.545649657903838485e-04
-4.959999599999999731e+01 -3.902489999999999792e+00 5.438830000000000053e-01 2.604109999999999975e-04 -3.900511991402306311e+00 5.330912637045190916e-01 2.552230412769780979e-04
-4.949999599999999589e+01 -3.903252999999999862e+00 5.453329999999999567e-01 2.622599999999999996e-04 -3.901220240922029348e+00 5.321226629800270835e-01 2.558858385339741028e-04
-4.939999600000000157e+01 -3.904015999999999931e+00 5.467109999999999470e-01 2.640879999999999964e-04 -3.901920644562082874e+00 5.311572653311226189e-01 2.565534678947727532e-04
-4.929999600000000015e+01 -3.904790000000000205e+00 5.481230000000000269e-01 2.659469999999999933e-04 -3.902613039232180725e+00 5.301952186292877567e-01 2.572260439406353033e-04
-4.919999599999999873e+01 -3.905488000000000071e+00 5.495670000000000277e-01 2.678339999999999974e-04 -3.903297259919333406e+00 5.292366762756159915e-01 2.579036856709385119e-04
-4.909999599999999731e+01 -3.906083999999999889e+00 5.509939999999999838e-01 2.697260000000000261e-04 -3.903973139741990561e+00 5.282817973829985192e-01 2.585865166795987304e-04
-4.899999599999999589e+01 -3.906606000000000023e+00 5.523350000000000204e-01 2.715889999999999776e-04 -3.904640510010514376e+00 5.273307469628230049e-01 2.592746653378233943e-04
-4.889999600000000157e+01 -3.907144999999999868e+00 5.536280000000000090e-01 2.734419999999999885e-04 -3.905299200294371609e+00 5.263836961161691974e-01 2.599682649833462075e-04
-4.879999600000000015e+01 -3.907614999999999839e+00 5.549349999999999561e-01 2.753149999999999890e-04 -3.905949038496452808e+00 5.254408222294777442e-01 2.606674541163043102e-04
-4.869999599999999873e+01 -3.908024999999999860e+00 5.561059999999999892e-01 2.771340000000000066e-04 -3.906589850934922392e+00 5.245023091746494615e-01 2.613723766019039629e-04
-4.859999599999999731e+01 -3.908551000000000109e+00 5.572329999999999783e-01 2.789460000000000225e-04 -3.907221462433051240e+00 5.235683475135195497e-01 2.620831818800275093e-04
-4.849999599999999589e+01 -3.909085999999999839e+00 5.584430000000000227e-01 2.808139999999999985e-04 -3.907843696417465651e+00 5.226391347066292603e-01 2.628000251819174148e-04
-4.839999600000000157e+01 -3.909553999999999974e+00 5.596870000000000456e-01 2.827109999999999975e-04 -3.908456375025313179e+00 5.217148753262044192e-01 2.635230677540773502e-04
-4.829999600000000015e+01 -3.909950999999999954e+00 5.609279999999999822e-01 2.846209999999999843e-04 -3.909059319220807627e+00 5.207957812732210146e-01 2.642524770895143013e-04
-4.819999599999999873e+01 -3.910276999999999781e+00 5.621429999999999483e-01 2.865310000000000253e-04 -3.909652348921680343e+00 5.198820719984220684e-01 2.649884271664409638e-04
-4.809999599999999731e+01 -3.910527000000000086e+00 5.633129999999999526e-01 2.884310000000000172e-04 -3.910235283136065831e+00 5.189739747271226999e-01 2.657310986945477134e-04
-4.799999599999999589e+01 -3.910706999999999933e+00 5.643460000000000143e-01 2.902739999999999791e-04 -3.910807940110349712e+00 5.180717246876097581e-01 2.664806793689382587e-04
-4.789999600000000157e+01 -3.911039000000000154e+00 5.652629999999999599e-01 2.920730000000000071e-04 -3.911370137488578536e+00 5.171755653429210842e-01 2.672373641318126231e-04
-4.779999600000000015e+01 -3.911439000000000110e+00 5.662880000000000136e-01 2.939419999999999989e-04 -3.911921692483971480e+00 5.162857486257483863e-01 2.680013554419642978e-04
-4.769999599999999873e+01 -3.911792000000000158e+00 5.673930000000000362e-01 2.958670000000000050e-04 -3.912462422063179623e+00 5.154025351761845064e-01 2.687728635521408407e-04
-4.759999599999999731e+01 -3.912037000000000209e+00 5.685210000000000541e-01 2.978170000000000253e-04 -3.912992143143872337e+00 5.145261945819881166e-01 2.695521067942999085e-04
