# energy, Re[S], Im[S], Im[G], Re[Smpa], Im[Smpa], Im[Gmpa]
-1.000000000000000000e+02 3.778245000000000076e+00 3.785641000000000034e+00 3.510340000000000140e-04 -6.552500048859725368e+00 3.521996592728414033e+00 4.027514180576471686e-04
-9.989999000000000251e+01 3.783052000000000081e+00 3.761033999999999988e+00 3.493980000000000046e-04 -6.555868739842552806e+00 3.540458492648920430e+00 4.057525236619054514e-04
-9.979999999999999716e+01 3.786144000000000176e+00 3.744276000000000160e+00 3.484960000000000054e-04 -6.559171075694104402e+00 3.559101705721153142e+00 4.087858246188803921e-04
-9.970000000000000284e+01 3.803881000000000068e+00 3.738262999999999892e+00 3.484900000000000194e-04 -6.562405800031608116e+00 3.577934106879816500e+00 4.118526516198872125e-04
-9.959999999999999432e+01 3.836949999999999861e+00 3.721810000000000063e+00 3.474090000000000207e-04 -6.565570255630531094e+00 3.596956176089359580e+00 4.149531332906757205e-04
-9.950000000000000000e+01 3.872792000000000012e+00 3.705115000000000158e+00 3.462830000000000183e-04 -6.568662050386119944e+00 3.616170274327247913e+00 4.180877047291677463e-04
-9.939999000000000251e+01 3.941736999999999824e+00 3.685093000000000174e+00 3.446240000000000262e-04 -6.571679019514246711e+00 3.635580738879973683e+00 4.212571244076186152e-04
-9.929999999999999716e+01 4.035873999999999739e+00 3.614221000000000128e+00 3.380500000000000041e-04 -6.574617734319898155e+00 3.655184129904359924e+00 4.244608808720995853e-04
-9.920000000000000284e+01 4.106817000000000384e+00 3.470968000000000053e+00 3.248649999999999737e-04 -6.577476478303796448e+00 3.674988736754052354e+00 4.277003792076518123e-04
-9.909999999999999432e+01 4.083687000000000289e+00 3.295653000000000166e+00 3.092260000000000104e-04 -6.580252266671796413e+00 3.694995071201669479e+00 4.309757544649204424e-04
-9.900000000000000000e+01 3.990256000000000025e+00 3.178580999999999879e+00 2.993830000000000167e-04 -6.582942333179126138e+00 3.715205620421375254e+00 4.342874648514823913e-04
-9.889999000000000251e+01 3.892513000000000112e+00 3.126513999999999793e+00 2.956209999999999806e-04 -6.585544085571219952e+00 3.735624948158282166e+00 4.376363097115444785e-04
-9.879999999999999716e+01 3.819163999999999781e+00 3.113767999999999869e+00 2.954130000000000124e-04 -6.588053825040231182e+00 3.756249433610659327e+00 4.410217459092511858e-04
-9.870000000000000284e+01 3.776280999999999999e+00 3.114043999999999812e+00 2.962630000000000059e-04 -6.590469299966766670e+00 3.777087792502937358e+00 4.444452547983178251e-04
-9.859999999999999432e+01 3.754903999999999797e+00 3.110209999999999919e+00 2.965999999999999995e-04 -6.592787147115140911e+00 3.798140555122901940e+00 4.479069750526665141e-04
-9.849998999999999683e+01 3.742621999999999893e+00 3.097361999999999949e+00 2.960260000000000148e-04 -6.595004383661498437e+00 3.819412464459581713e+00 4.514077380740460772e-04
-9.839999000000000251e+01 3.732111999999999874e+00 3.079134999999999955e+00 2.949240000000000108e-04 -6.597117272068238059e+00 3.840901893903606812e+00 4.549473271313428271e-04
-9.829999999999999716e+01 3.722545000000000215e+00 3.059150999999999954e+00 2.936419999999999916e-04 -6.599122452944970796e+00 3.862611425706450330e+00 4.585262174707147292e-04
-9.820000000000000284e+01 3.714545000000000208e+00 3.037936000000000192e+00 2.922269999999999924e-04 -6.601016836374143715e+00 3.884548071229930954e+00 4.621456155783178264e-04
-9.809999999999999432e+01 3.707462000000000035e+00 3.015546000000000060e+00 2.906869999999999767e-04 -6.602796622000526305e+00 3.906712359633267351e+00 4.658056596352395679e-04
-9.799998999999999683e+01 3.701223000000000152e+00 2.992532000000000192e+00 2.890750000000000199e-04 -6.604458269404756443e+00 3.929109250240764073e+00 4.695072192030024590e-04
-9.790000000000000568e+01 3.695717999999999837e+00 2.968783999999999867e+00 2.873800000000000031e-04 -6.605997488474020685e+00 3.951734716237734979e+00 4.732496781268193142e-04
-9.779999999999999716e+01 3.690043999999999880e+00 2.944890000000000008e+00 2.856649999999999966e-04 -6.607410837264600545e+00 3.974598254397843533e+00 4.770346562472265232e-04
-9.770000000000000284e+01 3.685268000000000210e+00 2.922775999999999819e+00 2.841090000000000000e-04 -6.608694117633669762e+00 3.997700373256031003e+00 4.808622872386421917e-04
-9.759999999999999432e+01 3.683902999999999928e+00 2.901318999999999981e+00 2.825910000000000054e-04 -6.609843172388480959e+00 4.021043847291373652e+00 4.847330793207379617e-04
-9.749998999999999683e+01 3.685909000000000102e+00 2.878773999999999944e+00 2.809420000000000081e-04 -6.610853815684554213e+00 4.044633835636273211e+00 4.886479364406248445e-04
-9.740000000000000568e+01 3.691313000000000066e+00 2.853219000000000172e+00 2.789730000000000139e-04 -6.611721359539227905e+00 4.068466025376796580e+00 4.926061897437876641e-04
-9.729999999999999716e+01 3.697414000000000200e+00 2.822937000000000030e+00 2.765299999999999833e-04 -6.612441549997988943e+00 4.092550340695667366e+00 4.966095337309062207e-04
-9.720000000000000284e+01 3.701691999999999982e+00 2.789133999999999780e+00 2.737419999999999957e-04 -6.613009623542016158e+00 4.116887230633747841e+00 5.006580894475750687e-04
-9.709999999999999432e+01 3.701996999999999982e+00 2.754469999999999974e+00 2.708790000000000199e-04 -6.613420773145610276e+00 4.141479522681684067e+00 5.047523723574499086e-04
-9.699998999999999683e+01 3.700190000000000090e+00 2.724263999999999797e+00 2.684550000000000174e-04 -6.613670067000968267e+00 4.166332547924330498e+00 5.088933146885879673e-04
-9.690000000000000568e+01 3.702697000000000127e+00 2.699460000000000193e+00 2.665289999999999955e-04 -6.613752361138146796e+00 4.191441648752401328e+00 5.130801831067386071e-04
-9.679999999999999716e+01 3.714745000000000186e+00 2.676133999999999791e+00 2.646920000000000197e-04 -6.613662461914731061e+00 4.216817157337036548e+00 5.173147420926439005e-04
-9.670000000000000284e+01 3.737061999999999884e+00 2.647546000000000177e+00 2.622729999999999875e-04 -6.613394955109868079e+00 4.242459412748485370e+00 5.215970896456508746e-04
-9.659999999999999432e+01 3.769727000000000050e+00 2.611990000000000034e+00 2.591030000000000026e-04 -6.612944284886263624e+00 4.268371248821830832e+00 5.259277386882606599e-04
-9.650000000000000000e+01 3.820088000000000150e+00 2.554016999999999982e+00 2.536099999999999791e-04 -6.612304732660953199e+00 4.294555493494412346e+00 5.303072001442367314e-04
-9.640000000000000568e+01 3.857082999999999817e+00 2.447235000000000049e+00 2.433249999999999920e-04 -6.611470412537300945e+00 4.321014966028317694e+00 5.347359823638104647e-04
-9.629999999999999716e+01 3.836926000000000059e+00 2.329750999999999905e+00 2.322129999999999941e-04 -6.610435266633317042e+00 4.347752474048124149e+00 5.392145905120091821e-04
-9.620000000000000284e+01 3.788867000000000207e+00 2.245074999999999932e+00 2.244439999999999944e-04 -6.609193060306418843e+00 4.374770810384072561e+00 5.437435259182427268e-04
-9.609999999999999432e+01 3.742599999999999927e+00 2.184918999999999834e+00 2.190759999999999875e-04 -6.607737377274828461e+00 4.402072749710404409e+00 5.483232853852207465e-04
-9.600000000000000000e+01 3.703936999999999813e+00 2.135456000000000021e+00 2.147170000000000111e-04 -6.606061614636345780e+00 4.429661044968005612e+00 5.529543604551652057e-04
-9.590000000000000568e+01 3.671005000000000074e+00 2.090075999999999823e+00 2.107199999999999883e-04 -6.604158977785299811e+00 4.457538423560203356e+00 5.576372366312428537e-04
-9.579999999999999716e+01 3.642195000000000071e+00 2.046034999999999826e+00 2.068179999999999975e-04 -6.602022475229036402e+00 4.485707583309853419e+00 5.623723925520217066e-04
-9.570000000000000284e+01 3.616252999999999940e+00 2.001872999999999791e+00 2.028710000000000029e-04 -6.599644913305589000e+00 4.514171188165488680e+00 5.671602991167056180e-04
-9.559999999999999432e+01 3.592176999999999953e+00 1.956544000000000061e+00 1.987769999999999977e-04 -6.597018890804585034e+00 4.542931863643717705e+00 5.720014185588034351e-04
-9.550000000000000000e+01 3.569123999999999963e+00 1.908916999999999975e+00 1.944240000000000074e-04 -6.594136793493986737e+00 4.571992191994446841e+00 5.768962034658002254e-04
-9.540000000000000568e+01 3.544845000000000024e+00 1.857968999999999982e+00 1.897140000000000068e-04 -6.590990788555701307e+00 4.601354707075097750e+00 5.818450957423392921e-04
-9.529999999999999716e+01 3.517040000000000166e+00 1.804866999999999999e+00 1.847720000000000124e-04 -6.587572818933677965e+00 4.631021888919200080e+00 5.868485255143032460e-04
-9.520000000000000284e+01 3.484739999999999949e+00 1.751562999999999981e+00 1.798000000000000065e-04 -6.583874597598718736e+00 4.660996157984348187e+00 5.919069099711353433e-04
-9.509999999999999432e+01 3.448191000000000006e+00 1.700134999999999952e+00 1.750079999999999887e-04 -6.579887601734830227e+00 4.691279869063789576e+00 5.970206521436374585e-04
