# energy, Re[S], Im[S], Im[G], Re[Smpa], Im[Smpa], Im[Gmpa]
-5.000000000000000000e+01 -2.813258999999999954e+00 3.346799999999999775e-02 1.503105884620145320e-05 -2.816725491326271147e+00 3.939902325504664876e-02 1.769738086515715818e-05
-4.989999999999999858e+01 -2.814150999999999847e+00 3.373000000000000304e-02 1.521371608328085212e-05 -2.817540571388621462e+00 3.957481701376006078e-02 1.785255283001860102e-05
-4.979999999999999716e+01 -2.815040999999999904e+00 3.398799999999999738e-02 1.539599204013710794e-05 -2.818361875247717752e+00 3.975191868497249259e-02 1.800949245409609340e-05
-4.970000000000000284e+01 -2.815938000000000052e+00 3.424200000000000160e-02 1.557788265609370571e-05 -2.819189480102354040e+00 3.993036547846833678e-02 1.816823534969599953e-05
-4.960000000000000142e+01 -2.816831999999999780e+00 3.449900000000000189e-02 1.576256954091675023e-05 -2.820023464160569038e+00 4.011019618078009996e-02 1.832881836999544222e-05
-4.950000000000000000e+01 -2.817725999999999953e+00 3.474000000000000005e-02 1.594136724614557144e-05 -2.820863906627278705e+00 4.029145121796649104e-02 1.849127966148513824e-05
-4.939999999999999858e+01 -2.818635999999999697e+00 3.497600000000000015e-02 1.611927455421122355e-05 -2.821710887689312663e+00 4.047417272012383133e-02 1.865565871840461104e-05
-4.929999999999999716e+01 -2.819554000000000116e+00 3.521599999999999731e-02 1.630043531152755722e-05 -2.822564488497635526e+00 4.065840458759913123e-02 1.882199643920535960e-05
-4.920000000000000284e+01 -2.820472000000000090e+00 3.545500000000000040e-02 1.648255701954434615e-05 -2.823424791146578627e+00 4.084419255886168054e-02 1.899033518507299152e-05
-4.910000000000000142e+01 -2.821393999999999735e+00 3.568500000000000144e-02 1.666191464967971744e-05 -2.824291878649857424e+00 4.103158427997916774e-02 1.916071884053492750e-05
-4.900000000000000000e+01 -2.822325999999999890e+00 3.590299999999999742e-02 1.683706427034281996e-05 -2.825165834913172080e+00 4.122062937563130552e-02 1.933319287617449029e-05
-4.889999999999999858e+01 -2.823280999999999707e+00 3.612100000000000033e-02 1.701360732731040204e-05 -2.826046744703168745e+00 4.141137952157801505e-02 1.950780441346479878e-05
-4.879999999999999716e+01 -2.824238999999999944e+00 3.634500000000000230e-02 1.719438111923004216e-05 -2.826934693612523919e+00 4.160388851848804276e-02 1.968460229173056456e-05
-4.870000000000000284e+01 -2.825200999999999851e+00 3.656600000000000128e-02 1.737516070750053885e-05 -2.827829768020920120e+00 4.179821236701238701e-02 1.986363713723542624e-05
-4.860000000000000142e+01 -2.826169000000000153e+00 3.677699999999999719e-02 1.755260160763474943e-05 -2.828732055051675687e+00 4.199440934397126457e-02 2.004496143438421669e-05
-4.850000000000000000e+01 -2.827150000000000052e+00 3.697500000000000092e-02 1.772522157917612331e-05 -2.829641642523756495e+00 4.219254007950463264e-02 2.022862959901963430e-05
-4.839999999999999858e+01 -2.828149999999999942e+00 3.716300000000000159e-02 1.789440070182931052e-05 -2.830558618898946222e+00 4.239266763501106650e-02 2.041469805377950833e-05
-4.829999999999999716e+01 -2.829177000000000053e+00 3.734300000000000119e-02 1.806106194445977349e-05 -2.831483073223881597e+00 4.259485758168345820e-02 2.060322530547088355e-05
-4.820000000000000284e+01 -2.830233999999999916e+00 3.752300000000000080e-02 1.822905593724953699e-05 -2.832415095066713739e+00 4.279917807941878427e-02 2.079427202440010052e-05
-4.810000000000000142e+01 -2.831318999999999697e+00 3.770899999999999946e-02 1.840132234079164424e-05 -2.833354774448121116e+00 4.300569995585677013e-02 2.098790112558419354e-05
-4.800000000000000000e+01 -2.832434000000000118e+00 3.790700000000000319e-02 1.858085668912115384e-05 -2.834302201766398355e+00 4.321449678527621019e-02 2.118417785175295701e-05
-4.789999999999999858e+01 -2.833571000000000062e+00 3.811799999999999911e-02 1.876823799211890892e-05 -2.835257467716380653e+00 4.342564496704257038e-02 2.138316985803007160e-05
-4.779999999999999716e+01 -2.834745999999999988e+00 3.834300000000000208e-02 1.896407532976831565e-05 -2.836220663201915126e+00 4.363922380327506928e-02 2.158494729816431767e-05
-4.770000000000000284e+01 -2.835945999999999856e+00 3.861200000000000049e-02 1.918337190457092365e-05 -2.837191879241628190e+00 4.385531557536626046e-02 2.178958291215959920e-05
-4.760000000000000142e+01 -2.837149000000000143e+00 3.891599999999999920e-02 1.942193013416614950e-05 -2.838171206867761143e+00 4.407400561895027241e-02 2.199715211512779536e-05
-4.750000000000000000e+01 -2.838351000000000290e+00 3.925300000000000317e-02 1.967899931757499638e-05 -2.839158737017796419e+00 4.429538239688538687e-02 2.220773308716683696e-05
-4.739999999999999858e+01 -2.839541000000000093e+00 3.960999999999999938e-02 1.994826770819871080e-05 -2.840154560418688856e+00 4.451953756977347632e-02 2.242140686403671854e-05
-4.729999999999999716e+01 -2.840729000000000060e+00 3.998000000000000165e-02 2.022636145485861713e-05 -2.841158767463458634e+00 4.474656606350220500e-02 2.263825742837928854e-05
-4.720000000000000284e+01 -2.841917000000000026e+00 4.037000000000000310e-02 2.051695241932541790e-05 -2.842171448079977569e+00 4.497656613325918401e-02 2.285837180119941025e-05
-4.710000000000000142e+01 -2.843088999999999977e+00 4.077800000000000175e-02 2.081916736292774466e-05 -2.843192691591776455e+00 4.520963942341760938e-02 2.308184013328920544e-05
-4.700000000000000000e+01 -2.844248000000000332e+00 4.119199999999999945e-02 2.112700474860617763e-05 -2.844222586570732236e+00 4.544589102266213820e-02 2.330875579624948644e-05
-4.689999999999999858e+01 -2.845393000000000061e+00 4.159999999999999809e-02 2.143434815670755680e-05 -2.845261220681551517e+00 4.568542951367102201e-02 2.353921547272279702e-05
-4.679999999999999716e+01 -2.846557999999999922e+00 4.199200000000000155e-02 2.173603789461328272e-05 -2.846308680517946943e+00 4.592836701663668281e-02 2.377331924542061721e-05
